seed,mean_return,std_return,intervention_rate,throttle_rate
0,-27.233484268188477,8.491533279418945,1.0,0.0
1,-26.76585578918457,7.471991539001465,1.0,0.0
2,-26.560636520385742,8.051920890808105,1.0,0.15416666666666667
3,-26.28177261352539,8.734514236450195,0.46958333333333335,0.0
4,-27.88826560974121,8.200206756591797,0.26358333333333334,0.26358333333333334
5,-26.86306381225586,8.745981216430664,0.4575,0.0
6,-27.206710815429688,8.118864059448242,1.0,0.0
7,-25.7466983795166,7.644355773925781,0.28891666666666665,0.28891666666666665
8,-23.28328514099121,7.838388442993164,0.35475,0.35475
9,-26.814693450927734,7.671257019042969,1.0,0.0
